# 1:iteation 2:time 3:level 4:i 5:x 6:psi 7:Pi
20 0.4000000000000001 1 1 -4.64 1.7592925369667876e-234 0.0
20 0.4000000000000001 1 2 -4.56 1.723282697033019e-226 0.0
20 0.4000000000000001 1 3 -4.4799999999999995 -8.608946143568867e-60 -1.480742942986963e-57
20 0.4000000000000001 1 4 -4.3999999999999995 -5.244473841201352e-58 -6.349124249881275e-56
20 0.4000000000000001 1 5 -4.319999999999999 9.941813574547777e-57 1.709593032549702e-54
20 0.4000000000000001 1 6 -4.239999999999999 7.192413839880582e-55 8.376031578109095e-53
20 0.4000000000000001 1 7 -4.159999999999999 -9.261454962625e-54 -1.657465983298154e-51
20 0.4000000000000001 1 8 -4.08 -8.64457050557932e-52 -9.706112165154076e-50
20 0.4000000000000001 1 9 -3.9999999999999996 6.297297822791443e-51 1.3011517080439597e-48
20 0.4000000000000001 1 10 -3.9199999999999995 9.063618754692992e-49 9.836044231029819e-47
20 0.4000000000000001 1 11 -3.8399999999999994 -1.8824425660034733e-48 -7.538643944139498e-46
20 0.4000000000000001 1 12 -3.7599999999999993 -8.236296790299477e-46 -8.666539534380532e-44
20 0.4000000000000001 1 13 -3.68 -2.382812374716286e-45 2.0971537308238084e-43
20 0.4000000000000001 1 14 -3.6 6.427099307353618e-43 6.587690730778784e-41
20 0.4000000000000001 1 15 -3.52 5.039301456701694e-42 1.6537433148882763e-40
20 0.4000000000000001 1 16 -3.44 -4.247502441521606e-40 -4.272923388755629e-38
20 0.4000000000000001 1 17 -3.3599999999999994 -5.5731409630581107e-39 -3.151563648004155e-37
20 0.4000000000000001 1 18 -3.2799999999999994 2.3241955759220875e-37 2.32635392978534e-35
20 0.4000000000000001 1 19 -3.2 4.516074966786416e-36 2.9256781125819893e-34
20 0.4000000000000001 1 20 -3.12 -1.0090483935918935e-34 -1.0343437822066761e-32
20 0.4000000000000001 1 21 -3.04 -2.877668073927954e-33 -1.9564684339262301e-31
20 0.4000000000000001 1 22 -2.96 3.129155163503757e-32 3.5564246182540976e-30
20 0.4000000000000001 1 23 -2.8799999999999994 1.4674671816595332e-30 1.0159094409883955e-28
20 0.4000000000000001 1 24 -2.8 -4.180714914961542e-30 -8.128904286418405e-28
20 0.4000000000000001 1 25 -2.7199999999999998 -5.952778079107621e-28 -4.1617785314273367e-26
20 0.4000000000000001 1 26 -2.64 -2.1812319256511236e-27 3.277368650344113e-26
20 0.4000000000000001 1 27 -2.5599999999999996 1.867128340688064e-25 1.329583075461319e-23
20 0.4000000000000001 1 28 -2.4800000000000004 1.87350404019201e-24 7.003381264132494e-23
20 0.4000000000000001 1 29 -2.3999999999999995 -4.2110255110564755e-23 -3.1765473061063095e-21
20 0.4000000000000001 1 30 -2.3199999999999994 -7.7959813918111245e-22 -3.7061196609356786e-20
20 0.4000000000000001 1 31 -2.24 5.3088101167018986e-21 5.045879069168873e-19
20 0.4000000000000001 1 32 -2.16 2.1458108878222927e-19 1.107706096555785e-17
20 0.4000000000000001 1 33 -2.08 3.34055285280805e-19 -2.839199653760887e-17
20 0.4000000000000001 1 34 -1.9999999999999993 -3.9389818051082475e-17 -2.174261613659806e-15
20 0.4000000000000001 1 35 -1.92 -3.331185688217786e-16 -9.494578239070749e-15
20 0.4000000000000001 1 36 -1.8399999999999999 4.069312530968044e-15 2.6352247441210913e-13
20 0.4000000000000001 1 37 -1.7600000000000002 7.833270174681974e-14 3.050663880839192e-12
20 0.4000000000000001 1 38 -1.6799999999999997 1.4980364253690214e-14 -1.1989417684263317e-11
20 0.4000000000000001 1 39 -1.5999999999999999 -9.445965614434884e-12 -4.219040687937801e-10
20 0.4000000000000001 1 40 -1.5199999999999998 -7.117773308819901e-11 -1.7095879466128162e-9
20 0.4000000000000001 1 41 -1.4399999999999995 4.03098987675582e-10 2.589455162557778e-8
20 0.4000000000000001 1 42 -1.36 9.328022454041246e-9 3.195537963131786e-7
20 0.4000000000000001 1 43 -1.28 3.955045502637163e-8 4.580902469332668e-7
20 0.4000000000000001 1 44 -1.2 -3.427832777638698e-7 -1.6542448259717727e-5
20 0.4000000000000001 1 45 -1.12 -5.106699189714421e-6 -0.00014649551113977052
20 0.4000000000000001 1 46 -1.0399999999999996 -2.2273381378747527e-5 -0.00031386584605752035
20 0.4000000000000001 1 47 -0.96 5.7097567781560584e-5 0.0035413882532203695
20 0.4000000000000001 1 48 -0.8800000000000001 0.0013553506227999988 0.03792630186529509
20 0.4000000000000001 1 49 -0.8000000000000003 0.009324676299233751 0.1936901804811645
20 0.4000000000000001 1 50 -0.7199999999999998 0.039901987833017745 0.6346998606763635
20 0.4000000000000001 1 51 -0.6400000000000003 0.11979928238918125 1.4074813855977102
20 0.4000000000000001 1 52 -0.5599999999999996 0.2620814642550677 2.0585861787577833
20 0.4000000000000001 1 53 -0.47999999999999954 0.4222171058607113 1.6996431091960416
20 0.4000000000000001 1 54 -0.3999999999999999 0.4996471444696952 0.0685103809226423
20 0.4000000000000001 1 55 -0.3200000000000003 0.4300343305643015 -1.6762264957340793
20 0.4000000000000001 1 56 -0.2400000000000002 0.2657781307971687 -2.1566472670221937
20 0.4000000000000001 1 57 -0.1599999999999997 0.11729430685674147 -1.4562027408609606
20 0.4000000000000001 1 58 -0.08000000000000007 0.03904195745542454 -0.6427563095572829
20 0.4000000000000001 1 59 0.0 0.018124304647132966 -0.3435397403373223
20 0.4000000000000001 1 60 0.08000000000000007 0.039041957455423645 -0.6427563095572812
20 0.4000000000000001 1 61 0.16000000000000014 0.11729430685674247 -1.4562027408609801
20 0.4000000000000001 1 62 0.2400000000000002 0.2657781307971692 -2.1566472670221826
20 0.4000000000000001 1 63 0.3199999999999994 0.4300343305643014 -1.676226495734079
20 0.4000000000000001 1 64 0.40000000000000036 0.4996471444696956 0.0685103809226414
20 0.4000000000000001 1 65 0.47999999999999954 0.42221710586071093 1.6996431091960553
20 0.4000000000000001 1 66 0.5599999999999996 0.2620814642550669 2.0585861787577744
20 0.4000000000000001 1 67 0.6400000000000003 0.11979928238918143 1.4074813855977022
20 0.4000000000000001 1 68 0.7199999999999998 0.039901987833018036 0.6346998606763664
20 0.4000000000000001 1 69 0.7999999999999996 0.00932467629923379 0.1936901804811664
20 0.4000000000000001 1 70 0.8800000000000001 0.001355350622799984 0.03792630186529503
20 0.4000000000000001 1 71 0.96 5.709756778155761e-5 0.003541388253220255
20 0.4000000000000001 1 72 1.0399999999999994 -2.227338137874723e-5 -0.00031386584605752426
20 0.4000000000000001 1 73 1.12 -5.106699189714332e-6 -0.00014649551113976732
20 0.4000000000000001 1 74 1.2 -3.4278327776387213e-7 -1.6542448259717545e-5
20 0.4000000000000001 1 75 1.2800000000000002 3.955045502637028e-8 4.580902469332151e-7
20 0.4000000000000001 1 76 1.36 9.328022454041251e-9 3.1955379631317564e-7
20 0.4000000000000001 1 77 1.4399999999999995 4.030989876755923e-10 2.58945516255783e-8
20 0.4000000000000001 1 78 1.5200000000000005 -7.117773308819936e-11 -1.709587946612804e-9
20 0.4000000000000001 1 79 1.5999999999999999 -9.445965614434894e-12 -4.2190406879378403e-10
20 0.4000000000000001 1 80 1.6799999999999997 1.4980364253702685e-14 -1.1989417684262921e-11
20 0.4000000000000001 1 81 1.7600000000000005 7.83327017468191e-14 3.05066388083922e-12
20 0.4000000000000001 1 82 1.8399999999999999 4.069312530967838e-15 2.6352247441210005e-13
20 0.4000000000000001 1 83 1.9199999999999997 -3.331185688217705e-16 -9.494578239071007e-15
20 0.4000000000000001 1 84 2.0 -3.9389818051080325e-17 -2.1742616136596986e-15
20 0.4000000000000001 1 85 2.08 3.340552852807449e-19 -2.839199653760657e-17
20 0.4000000000000001 1 86 2.1599999999999993 2.14581088782213e-19 1.1077060965556968e-17
20 0.4000000000000001 1 87 2.24 5.308810116702233e-21 5.045879069168707e-19
20 0.4000000000000001 1 88 2.3199999999999994 -7.795981391810177e-22 -3.7061196609351237e-20
20 0.4000000000000001 1 89 2.3999999999999995 -4.2110255110566306e-23 -3.1765473061062178e-21
20 0.4000000000000001 1 90 2.4800000000000004 1.873504040191571e-24 7.003381264129693e-23
20 0.4000000000000001 1 91 2.5599999999999996 1.8671283406881284e-25 1.3295830754612815e-23
20 0.4000000000000001 1 92 2.6399999999999997 -2.1812319256494555e-27 3.277368650355704e-26
20 0.4000000000000001 1 93 2.7199999999999998 -5.952778079107865e-28 -4.1617785314272236e-26
20 0.4000000000000001 1 94 2.8 -4.18071491496681e-30 -8.128904286422408e-28
20 0.4000000000000001 1 95 2.879999999999999 1.4674671816596177e-30 1.0159094409883735e-28
20 0.4000000000000001 1 96 2.96 3.129155163505154e-32 3.556424618255265e-30
20 0.4000000000000001 1 97 3.04 -2.8776680739282112e-33 -1.9564684339262203e-31
20 0.4000000000000001 1 98 3.119999999999999 -1.0090483935922057e-34 -1.0343437822069645e-32
20 0.4000000000000001 1 99 3.2 4.516074966787096e-36 2.9256781125821044e-34
20 0.4000000000000001 1 100 3.2799999999999994 2.324195575922677e-37 2.3263539297859456e-35
20 0.4000000000000001 1 101 3.3599999999999994 -5.573140963059643e-39 -3.151563648004704e-37
20 0.4000000000000001 1 102 3.4400000000000004 -4.2475024415225394e-40 -4.272923388756706e-38
20 0.4000000000000001 1 103 3.52 5.039301456704641e-42 1.6537433148898374e-40
20 0.4000000000000001 1 104 3.6000000000000005 6.427099307354845e-43 6.5876907307804e-41
20 0.4000000000000001 1 105 3.68 -2.3828123747210986e-45 2.0971537308204916e-43
20 0.4000000000000001 1 106 3.7599999999999993 -8.236296790300787e-46 -8.666539534382561e-44
20 0.4000000000000001 1 107 3.8400000000000003 -1.882442565996805e-48 -7.538643944133872e-46
20 0.4000000000000001 1 108 3.9199999999999995 9.063618754694055e-49 9.836044231031894e-47
20 0.4000000000000001 1 109 3.999999999999999 6.297297822783639e-51 1.3011517080431792e-48
20 0.4000000000000001 1 110 4.080000000000001 -8.644570505579857e-52 -9.706112165155734e-50
20 0.4000000000000001 1 111 4.159999999999999 -9.261454962617326e-54 -1.6574659832972596e-51
20 0.4000000000000001 1 112 4.239999999999999 7.192413839880521e-55 8.376031578109996e-53
20 0.4000000000000001 1 113 4.319999999999999 9.9418135745415e-57 1.709593032548853e-54
20 0.4000000000000001 1 114 4.3999999999999995 -5.2444738412008534e-58 -6.349124249881383e-56
20 0.4000000000000001 1 115 4.4799999999999995 -8.60894614356468e-60 -1.4807429429863013e-57
20 0.4000000000000001 1 116 4.56 1.723282697033019e-226 0.0
20 0.4000000000000001 1 117 4.64 1.7592925369667876e-234 0.0
20 0.4000000000000002 2 1 -1.32 2.4290302016860755e-8 3.83253331471393e-7
20 0.4000000000000002 2 2 -1.28 3.919448996801659e-8 5.203748086662632e-7
20 0.4000000000000002 2 3 -1.24 -1.4957260409532388e-7 -4.797126906534682e-6
20 0.4000000000000002 2 4 -1.2 -4.1562200851063116e-7 -2.575618162395585e-5
20 0.4000000000000002 2 5 -1.1600000000000001 -2.718323363066167e-6 -6.142918163933165e-5
20 0.4000000000000002 2 6 -1.1199999999999999 -5.337598108643108e-6 -0.00016031680768455682
20 0.4000000000000002 2 7 -1.0799999999999998 -1.3791631311868576e-5 -0.00023669750825842869
20 0.4000000000000002 2 8 -1.04 -2.0181503711496134e-5 0.00010759298401543131
20 0.4000000000000002 2 9 -1.0000000000000002 4.066355733516229e-5 0.001342948514712317
20 0.4000000000000002 2 10 -0.9600000000000002 0.00018271173398311661 0.005204490463444368
20 0.4000000000000002 2 11 -0.9200000000000002 0.0005645620461573102 0.014857531742376844
20 0.4000000000000002 2 12 -0.8800000000000001 0.0015582690752809424 0.03772841222715796
20 0.4000000000000002 2 13 -0.8400000000000001 0.003940141998596123 0.08718111399716973
20 0.4000000000000002 2 14 -0.8 0.009162365743824471 0.1838413169211166
20 0.4000000000000002 2 15 -0.76 0.019622409359500506 0.35366851484041034
20 0.4000000000000002 2 16 -0.72 0.03873912584925353 0.6197720543665557
20 0.4000000000000002 2 17 -0.6799999999999999 0.07054863417920558 0.986668021616275
20 0.4000000000000002 2 18 -0.6400000000000001 0.11856873680368328 1.4206313259596857
20 0.4000000000000002 2 19 -0.6000000000000001 0.18396137560772616 1.836550560638739
20 0.4000000000000002 2 20 -0.56 0.26353269185766276 2.105301394828731
20 0.4000000000000002 2 21 -0.5200000000000001 0.34859902467832715 2.0900944808338537
20 0.4000000000000002 2 22 -0.4800000000000001 0.42579433245968734 1.7042108502260134
20 0.4000000000000002 2 23 -0.4400000000000001 0.48020704572923073 0.9640592046074038
20 0.4000000000000002 2 24 -0.3999999999999999 0.4999977481158301 0.0050966952174126695
20 0.4000000000000002 2 25 -0.36000000000000004 0.4805798728369173 -0.9565250754817103
20 0.4000000000000002 2 26 -0.32000000000000006 0.4263517641018084 -1.7029407967056098
20 0.4000000000000002 2 27 -0.28 0.34908628343481246 -2.094915920931731
20 0.4000000000000002 2 28 -0.23999999999999988 0.2637826741202052 -2.113114501285865
20 0.4000000000000002 2 29 -0.19999999999999984 0.1839849683275988 -1.8443297706775623
20 0.4000000000000002 2 30 -0.15999999999999992 0.11856298222355992 -1.428668658485222
20 0.4000000000000002 2 31 -0.12 0.07090110826232345 -1.0011046914920014
20 0.4000000000000002 2 32 -0.07999999999999985 0.040157267000292984 -0.6553172128236695
20 0.4000000000000002 2 33 -0.040000000000000036 0.023508681056050973 -0.43817227839070333
20 0.4000000000000002 2 34 0.0 0.018307378657810763 -0.3649762097048585
20 0.4000000000000002 2 35 0.040000000000000036 0.023508681056051053 -0.43817227839070133
20 0.4000000000000002 2 36 0.07999999999999985 0.04015726700029307 -0.6553172128236561
20 0.4000000000000002 2 37 0.11999999999999988 0.07090110826232343 -1.0011046914920172
20 0.4000000000000002 2 38 0.15999999999999992 0.11856298222356045 -1.4286686584852304
20 0.4000000000000002 2 39 0.20000000000000018 0.18398496832759906 -1.8443297706775472
20 0.4000000000000002 2 40 0.24 0.26378267412020523 -2.113114501285858
20 0.4000000000000002 2 41 0.28 0.3490862834348124 -2.0949159209317303
20 0.4000000000000002 2 42 0.32000000000000006 0.4263517641018081 -1.702940796705613
20 0.4000000000000002 2 43 0.36000000000000004 0.4805798728369171 -0.9565250754817164
20 0.4000000000000002 2 44 0.3999999999999999 0.4999977481158299 0.005096695217426783
20 0.4000000000000002 2 45 0.43999999999999995 0.48020704572923056 0.9640592046073918
20 0.4000000000000002 2 46 0.4799999999999999 0.4257943324596876 1.704210850226005
20 0.4000000000000002 2 47 0.5200000000000002 0.3485990246783273 2.090094480833863
20 0.4000000000000002 2 48 0.56 0.26353269185766237 2.1053013948287407
20 0.4000000000000002 2 49 0.6000000000000001 0.18396137560772574 1.8365505606387373
20 0.4000000000000002 2 50 0.6400000000000001 0.11856873680368306 1.420631325959679
20 0.4000000000000002 2 51 0.6799999999999999 0.07054863417920551 0.9866680216162727
20 0.4000000000000002 2 52 0.72 0.03873912584925353 0.6197720543665555
20 0.4000000000000002 2 53 0.76 0.0196224093595005 0.35366851484041034
20 0.4000000000000002 2 54 0.8 0.009162365743824475 0.18384131692111635
20 0.4000000000000002 2 55 0.8400000000000001 0.0039401419985961314 0.08718111399716977
20 0.4000000000000002 2 56 0.8800000000000001 0.0015582690752809468 0.03772841222715811
20 0.4000000000000002 2 57 0.9200000000000002 0.0005645620461573104 0.014857531742376895
20 0.4000000000000002 2 58 0.9600000000000002 0.00018271173398311637 0.005204490463444367
20 0.4000000000000002 2 59 1.0000000000000002 4.066355733516243e-5 0.0013429485147123156
20 0.4000000000000002 2 60 1.0399999999999998 -2.0181503711495846e-5 0.00010759298401542913
20 0.4000000000000002 2 61 1.0799999999999998 -1.3791631311868388e-5 -0.00023669750825842744
20 0.4000000000000002 2 62 1.1199999999999999 -5.337598108643017e-6 -0.0001603168076845538
20 0.4000000000000002 2 63 1.1600000000000004 -2.7183233630661237e-6 -6.142918163933036e-5
20 0.4000000000000002 2 64 1.2 -4.1562200851063195e-7 -2.5756181623955484e-5
20 0.4000000000000002 2 65 1.24 -1.495726040953257e-7 -4.797126906534675e-6
20 0.4000000000000002 2 66 1.28 3.9194489968015246e-8 5.203748086662228e-7
20 0.4000000000000002 2 67 1.32 2.4290302016860076e-8 3.8325333147137204e-7
