# 1:iteation 2:time 3:level 4:i 5:x 6:psi 7:Pi
180 3.6000000000000028 1 1 -4.64 1.7592925369667876e-234 0.0
180 3.6000000000000028 1 2 -4.56 1.723282697033019e-226 0.0
180 3.6000000000000028 1 3 -4.4799999999999995 8.631664556223435e-6 4.539998371421875e-5
180 3.6000000000000028 1 4 -4.3999999999999995 -1.0166308512643147e-6 -0.0004981906473356475
180 3.6000000000000028 1 5 -4.319999999999999 -0.00011704155330629413 -0.0028666415842772052
180 3.6000000000000028 1 6 -4.239999999999999 -0.0005054900009303275 -0.00703609912888114
180 3.6000000000000028 1 7 -4.159999999999999 -0.001001482484941066 -0.0021453629949002586
180 3.6000000000000028 1 8 -4.08 0.0005114997299819825 0.05412411615132294
180 3.6000000000000028 1 9 -3.9999999999999996 0.011396509803994325 0.25135500189014315
180 3.6000000000000028 1 10 -3.9199999999999995 0.04707841085813533 0.6870664273123382
180 3.6000000000000028 1 11 -3.8399999999999994 0.12676842409925815 1.3252191883179654
180 3.6000000000000028 1 12 -3.7599999999999993 0.2555770527536099 1.8273446329997423
180 3.6000000000000028 1 13 -3.68 0.40021226469430776 1.6184567073430574
180 3.6000000000000028 1 14 -3.6 0.4871231457078136 0.38745710735910316
180 3.6000000000000028 1 15 -3.52 0.44906816082281303 -1.3280455133164115
180 3.6000000000000028 1 16 -3.44 0.29398400567597627 -2.319639586128044
180 3.6000000000000028 1 17 -3.3599999999999994 0.1166669471634332 -1.8717966629252436
180 3.6000000000000028 1 18 -3.2799999999999994 0.01552985850158121 -0.6419783760847256
180 3.6000000000000028 1 19 -3.2 0.000798194536186209 0.10671056567163226
180 3.6000000000000028 1 20 -3.12 0.01063272937382452 0.043481865796145616
180 3.6000000000000028 1 21 -3.04 0.004796933527302944 -0.13876752987383711
180 3.6000000000000028 1 22 -2.96 -0.0035644824638429843 -0.03200190345784534
180 3.6000000000000028 1 23 -2.8799999999999994 -0.0007628840472596668 0.06457180119983114
180 3.6000000000000028 1 24 -2.8 0.0020943934514113293 -0.0068590872777410826
180 3.6000000000000028 1 25 -2.7199999999999998 -0.0004220298381287647 -0.030698724184624944
180 3.6000000000000028 1 26 -2.64 -0.0008252553228280728 0.01759938554391425
180 3.6000000000000028 1 27 -2.5599999999999996 0.0006610039876029457 0.006484475911025639
180 3.6000000000000028 1 28 -2.4800000000000004 2.018734400483726e-5 -0.013201409773286083
180 3.6000000000000028 1 29 -2.3999999999999995 -0.00035424525948115525 0.005382016569875744
180 3.6000000000000028 1 30 -2.3199999999999994 0.000247573472333729 0.0031461552288684466
180 3.6000000000000028 1 31 -2.24 -8.164558110353453e-6 -0.00537780711260411
180 3.6000000000000028 1 32 -2.16 -0.00012412976982826792 0.002815213691349579
180 3.6000000000000028 1 33 -2.08 0.00011456618602121429 0.00041828302588274943
180 3.6000000000000028 1 34 -1.9999999999999993 -4.078474477803919e-5 -0.0019308182442528763
180 3.6000000000000028 1 35 -1.92 -2.1528391772790158e-5 0.0016716236673554898
180 3.6000000000000028 1 36 -1.8399999999999999 4.3963098297203675e-5 -0.0006570488795506992
180 3.6000000000000028 1 37 -1.7600000000000002 -3.5054805007329405e-5 -0.00021727735883807076
180 3.6000000000000028 1 38 -1.6799999999999997 1.4756194972037717e-5 0.0006006877522355533
180 3.6000000000000028 1 39 -1.5999999999999999 2.2334429958326193e-6 -0.000564368060296294
180 3.6000000000000028 1 40 -1.5199999999999998 -1.0582652544172e-5 0.0003310112843395837
180 3.6000000000000028 1 41 -1.4399999999999995 1.1444300899900715e-5 -8.820504752497155e-5
180 3.6000000000000028 1 42 -1.36 -8.287123195688797e-6 -7.258417854024488e-5
180 3.6000000000000028 1 43 -1.28 4.184005322458502e-6 0.00013902264391445803
180 3.6000000000000028 1 44 -1.2 -8.707736880950834e-7 -0.00013801543916239909
180 3.6000000000000028 1 45 -1.12 -1.1131798963686498e-6 0.00010385480812305724
180 3.6000000000000028 1 46 -1.0399999999999996 1.9238948060587874e-6 -6.239891889366326e-5
180 3.6000000000000028 1 47 -0.96 -1.9651608626719732e-6 2.7580647361694287e-5
180 3.6000000000000028 1 48 -0.8800000000000001 1.62478104444174e-6 -3.983275468282916e-6
180 3.6000000000000028 1 49 -0.8000000000000003 -1.1732227985920125e-6 -9.133170107249816e-6
180 3.6000000000000028 1 50 -0.7199999999999998 7.581728529354347e-7 1.4585885938617772e-5
180 3.6000000000000028 1 51 -0.6400000000000003 -4.375571374043423e-7 -1.5356356394828956e-5
180 3.6000000000000028 1 52 -0.5599999999999996 2.173011060342243e-7 1.3772097993128982e-5
180 3.6000000000000028 1 53 -0.47999999999999954 -7.999474861911156e-8 -1.1347506811787445e-5
