# 1:iteation 2:time 3:level 4:i 5:x 6:psi 7:Pi
160 3.2000000000000024 1 1 -4.64 1.7592925369667876e-234 0.0
160 3.2000000000000024 1 2 -4.56 1.723282697033019e-226 0.0
160 3.2000000000000024 1 3 -4.4799999999999995 -4.110030214344866e-9 -1.815774513614531e-7
160 3.2000000000000024 1 4 -4.3999999999999995 -3.621441588929406e-8 -7.39465053802675e-7
160 3.2000000000000024 1 5 -4.319999999999999 -9.266832728777921e-8 -2.0601474640611364e-7
160 3.2000000000000024 1 6 -4.239999999999999 1.9960026658391124e-7 1.0863014129194157e-5
160 3.2000000000000024 1 7 -4.159999999999999 2.3430893612024315e-6 4.9704132269049924e-5
160 3.2000000000000024 1 8 -4.08 7.399133908545297e-6 6.139130018898273e-5
160 3.2000000000000024 1 9 -3.9999999999999996 1.4758163840768984e-7 -0.0003889659084121129
160 3.2000000000000024 1 10 -3.9199999999999995 -9.642398877421232e-5 -0.0024489638614005904
160 3.2000000000000024 1 11 -3.8399999999999994 -0.0004367411796367811 -0.0062909391443515365
160 3.2000000000000024 1 12 -3.7599999999999993 -0.0008845068273946015 -0.0019508500033519954
160 3.2000000000000024 1 13 -3.68 0.0005582221507885227 0.05177104480452512
160 3.2000000000000024 1 14 -3.6 0.011114533378978884 0.2456659183801234
160 3.2000000000000024 1 15 -3.52 0.046346304192943014 0.6830445819723827
160 3.2000000000000024 1 16 -3.44 0.1261159363260193 1.3330220614307453
160 3.2000000000000024 1 17 -3.3599999999999994 0.25613644413930775 1.848308603469548
160 3.2000000000000024 1 18 -3.2799999999999994 0.4023282887074304 1.6305910208654382
160 3.2000000000000024 1 19 -3.2 0.48889122118555306 0.3639003934576247
160 3.2000000000000024 1 20 -3.12 0.44783149060062216 -1.3712698578504845
160 3.2000000000000024 1 21 -3.04 0.2904306839276623 -2.323748447512292
160 3.2000000000000024 1 22 -2.96 0.11522078319891407 -1.821078320849402
160 3.2000000000000024 1 23 -2.8799999999999994 0.018134996485723656 -0.6084173696028632
160 3.2000000000000024 1 24 -2.8 0.003328115198045398 0.07268688230567545
160 3.2000000000000024 1 25 -2.7199999999999998 0.009548638067217705 0.005841769334041553
160 3.2000000000000024 1 26 -2.64 0.003010763702604209 -0.1182835668914694
160 3.2000000000000024 1 27 -2.5599999999999996 -0.0028712225392087854 -0.007159606260594119
160 3.2000000000000024 1 28 -2.4800000000000004 0.00012484484029868582 0.046840841453623064
160 3.2000000000000024 1 29 -2.3999999999999995 0.0013709505344649399 -0.01707175280649962
160 3.2000000000000024 1 30 -2.3199999999999994 -0.0006660462740328741 -0.014973437578574684
160 3.2000000000000024 1 31 -2.24 -0.0002653602721517766 0.016142641442332514
160 3.2000000000000024 1 32 -2.16 0.00047955899880493193 -0.0025826409626706244
160 3.2000000000000024 1 33 -2.08 -0.0001980994568692852 -0.006236120487154882
160 3.2000000000000024 1 34 -1.9999999999999993 -8.538311034609066e-5 0.005909461673052332
160 3.2000000000000024 1 35 -1.92 0.000165037123649643 -0.0015994925704714508
160 3.2000000000000024 1 36 -1.8399999999999999 -9.87645499880665e-5 -0.0016155536872297
160 3.2000000000000024 1 37 -1.7600000000000002 7.553647833846086e-6 0.0022779487559530104
160 3.2000000000000024 1 38 -1.6799999999999997 4.197304272494802e-5 -0.0013562278826794488
160 3.2000000000000024 1 39 -1.5999999999999999 -4.5619367226423476e-5 0.00019663932503722887
160 3.2000000000000024 1 40 -1.5199999999999998 2.6361235659562523e-5 0.0004869836575813212
160 3.2000000000000024 1 41 -1.4399999999999995 -5.521097864730464e-6 -0.0006272395139369013
160 3.2000000000000024 1 42 -1.36 -7.079202948449742e-6 0.00045276511231089956
160 3.2000000000000024 1 43 -1.28 1.0879530677757933e-5 -0.00020167358279490793
160 3.2000000000000024 1 44 -1.2 -9.24961734698434e-6 8.240434132795762e-6
160 3.2000000000000024 1 45 -1.12 5.697046914755447e-6 9.206575837436932e-5
160 3.2000000000000024 1 46 -1.0399999999999996 -2.392709586359561e-6 -0.00011759052397217952
160 3.2000000000000024 1 47 -0.96 1.6858274129980454e-7 0.00010132879597083149
160 3.2000000000000024 1 48 -0.8800000000000001 9.642109277170576e-7 -7.045716402318636e-5
160 3.2000000000000024 1 49 -0.8000000000000003 -1.321462264243807e-6 4.078290293663655e-5
160 3.2000000000000024 1 50 -0.7199999999999998 1.2486534293761148e-6 -1.863383328922428e-5
160 3.2000000000000024 1 51 -0.6400000000000003 -1.0008468722288168e-6 4.7075576919848515e-6
160 3.2000000000000024 1 52 -0.5599999999999996 7.26464129108319e-7 2.7183726316207337e-6
160 3.2000000000000024 1 53 -0.47999999999999954 -4.930139873493691e-7 -5.864989246950579e-6
160 3.2000000000000024 1 54 -0.3999999999999999 3.1953706380224026e-7 6.5942950564095146e-6
160 3.2000000000000024 1 55 -0.3200000000000003 -2.0171563731743855e-7 -6.187888136867188e-6
160 3.2000000000000024 1 56 -0.2400000000000002 1.2724339699165382e-7 5.415559879642338e-6
160 3.2000000000000024 1 57 -0.1599999999999997 -8.360879623755505e-8 -4.688274118547216e-6
160 3.2000000000000024 1 58 -0.08000000000000007 6.125196650546853e-8 4.200519897841514e-6
160 3.2000000000000024 1 59 0.0 -5.4430707153865674e-8 -4.031183340964784e-6
160 3.2000000000000024 1 60 0.08000000000000007 6.125196631412355e-8 4.200519902002817e-6
160 3.2000000000000024 1 61 0.16000000000000014 -8.360879609891911e-8 -4.688274120076649e-6
160 3.2000000000000024 1 62 0.2400000000000002 1.2724339696645295e-7 5.415559882378078e-6
160 3.2000000000000024 1 63 0.3199999999999994 -2.0171563724073037e-7 -6.187888141349964e-6
160 3.2000000000000024 1 64 0.40000000000000036 3.195370638226122e-7 6.594295057225591e-6
160 3.2000000000000024 1 65 0.47999999999999954 -4.930139874115302e-7 -5.8649892469761774e-6
160 3.2000000000000024 1 66 0.5599999999999996 7.264641293542678e-7 2.7183726291664896e-6
160 3.2000000000000024 1 67 0.6400000000000003 -1.000846872085915e-6 4.7075576933698775e-6
160 3.2000000000000024 1 68 0.7199999999999998 1.2486534294263908e-6 -1.8633833289900192e-5
160 3.2000000000000024 1 69 0.7999999999999996 -1.3214622641499023e-6 4.0782902937699345e-5
160 3.2000000000000024 1 70 0.8800000000000001 9.642109274306347e-7 -7.04571640209152e-5
160 3.2000000000000024 1 71 0.96 1.685827412826148e-7 0.00010132879596765778
160 3.2000000000000024 1 72 1.0399999999999994 -2.39270958657199e-6 -0.00011759052396788571
160 3.2000000000000024 1 73 1.12 5.69704691459468e-6 9.206575836863932e-5
160 3.2000000000000024 1 74 1.2 -9.249617346917204e-6 8.240434134418172e-6
160 3.2000000000000024 1 75 1.2800000000000002 1.087953067736892e-5 -0.00020167358279240448
160 3.2000000000000024 1 76 1.36 -7.079202948291599e-6 0.0004527651123094543
160 3.2000000000000024 1 77 1.4399999999999995 -5.521097865017312e-6 -0.000627239513929518
160 3.2000000000000024 1 78 1.5200000000000005 2.6361235659236507e-5 0.0004869836575727888
160 3.2000000000000024 1 79 1.5999999999999999 -4.561936722620463e-5 0.00019663932504192764
160 3.2000000000000024 1 80 1.6799999999999997 4.197304272447622e-5 -0.0013562278826757795
160 3.2000000000000024 1 81 1.7600000000000005 7.553647833808449e-6 0.0022779487559423622
160 3.2000000000000024 1 82 1.8399999999999999 -9.876454998793567e-5 -0.001615553687221599
