# 1:iteation 2:time 3:level 4:i 5:x 6:psi 7:Pi
90 1.8000000000000012 1 1 -4.64 1.7592925369667876e-234 0.0
90 1.8000000000000012 1 2 -4.56 1.723282697033019e-226 0.0
90 1.8000000000000012 1 3 -4.4799999999999995 5.24827433329831e-25 5.908370889628589e-23
90 1.8000000000000012 1 4 -4.3999999999999995 1.8769707760838175e-23 6.2563698046585255e-22
90 1.8000000000000012 1 5 -4.319999999999999 4.145886118852111e-23 -1.2358017354882784e-21
90 1.8000000000000012 1 6 -4.239999999999999 -9.984290877280518e-22 -4.2327299865046353e-20
90 1.8000000000000012 1 7 -4.159999999999999 -6.4495383192967336e-21 -9.310321648601858e-20
90 1.8000000000000012 1 8 -4.08 3.102847555354927e-20 1.9774913134169897e-18
90 1.8000000000000012 1 9 -3.9999999999999996 4.799610619403435e-19 1.2790741816074421e-17
90 1.8000000000000012 1 10 -3.9199999999999995 3.4871351439442706e-19 -4.9139854290474464e-17
90 1.8000000000000012 1 11 -3.8399999999999994 -2.267799279253182e-17 -8.209650988977525e-16
90 1.8000000000000012 1 12 -3.7599999999999993 -1.1229210499899937e-16 -1.085730635305109e-15
90 1.8000000000000012 1 13 -3.68 5.631686699590475e-16 3.186443088460652e-14
90 1.8000000000000012 1 14 -3.6 7.34282274770726e-15 1.7936524992671576e-13
90 1.8000000000000012 1 15 -3.52 8.45414157849023e-15 -5.198045951378061e-13
90 1.8000000000000012 1 16 -3.44 -2.542589825222609e-13 -9.068444681913135e-12
90 1.8000000000000012 1 17 -3.3599999999999994 -1.4493740955104508e-12 -2.0439307699590675e-11
90 1.8000000000000012 1 18 -3.2799999999999994 2.5733620648794947e-12 2.2121264308045279e-10
90 1.8000000000000012 1 19 -3.2 6.073398152428178e-11 1.6394410477679005e-9
90 1.8000000000000012 1 20 -3.12 1.967510648525796e-10 5.748482014326454e-10
90 1.8000000000000012 1 21 -3.04 -9.164823414186097e-10 -4.4461014474270835e-8
90 1.8000000000000012 1 22 -2.96 -9.879701615202765e-9 -2.1834549942339077e-7
90 1.8000000000000012 1 23 -2.8799999999999994 -2.2514581574614878e-8 1.1358645898708594e-7
90 1.8000000000000012 1 24 -2.8 1.37862000539577e-7 5.660282275556671e-6
90 1.8000000000000012 1 25 -2.7199999999999998 1.1914798780392742e-6 2.4157353567187903e-5
90 1.8000000000000012 1 26 -2.64 2.8659623042187444e-6 4.0261347857004994e-7
90 1.8000000000000012 1 27 -2.5599999999999996 -9.624829921572135e-6 -0.0004481105637957285
90 1.8000000000000012 1 28 -2.4800000000000004 -0.00010112096735059827 -0.00217928703720893
90 1.8000000000000012 1 29 -2.3999999999999995 -0.00034924889685222907 -0.003695317979165037
90 1.8000000000000012 1 30 -2.3199999999999994 -0.00022427699044169405 0.012392492206166348
90 1.8000000000000012 1 31 -2.24 0.0037417778702010032 0.1082369328549857
90 1.8000000000000012 1 32 -2.16 0.022419773675630732 0.4050279435331967
90 1.8000000000000012 1 33 -2.08 0.07638269707033539 0.9954144872388024
90 1.8000000000000012 1 34 -1.9999999999999993 0.18504624984277 1.7078017384338526
90 1.8000000000000012 1 35 -1.92 0.33719147735174104 1.9493429510057134
90 1.8000000000000012 1 36 -1.8399999999999999 0.46738282277906273 1.0867439524410896
90 1.8000000000000012 1 37 -1.7600000000000002 0.4864862157186925 -0.6855370257243494
90 1.8000000000000012 1 38 -1.6799999999999997 0.36699735110473014 -2.1074557434338304
90 1.8000000000000012 1 39 -1.5999999999999999 0.18807248265533877 -2.0917361777072956
90 1.8000000000000012 1 40 -1.5199999999999998 0.05997181870835871 -1.0479252223449202
90 1.8000000000000012 1 41 -1.4399999999999995 0.014115975850590792 -0.22546927565019864
90 1.8000000000000012 1 42 -1.36 0.00648374125363777 -0.046340558076843424
90 1.8000000000000012 1 43 -1.28 0.0020262799427268777 -0.05247598973524018
90 1.8000000000000012 1 44 -1.2 -0.0003405371521763542 -0.0038709218089902197
90 1.8000000000000012 1 45 -1.12 0.00022686288172613103 0.006276635448287562
90 1.8000000000000012 1 46 -1.0399999999999996 0.00010595891119817489 -0.0054074857325814765
90 1.8000000000000012 1 47 -0.96 -0.00010553347993951396 0.0011258059704831389
90 1.8000000000000012 1 48 -0.8800000000000001 5.4420462443321494e-5 0.0006808244574520578
90 1.8000000000000012 1 49 -0.8000000000000003 -1.0654302689950048e-5 -0.0009234037106401619
90 1.8000000000000012 1 50 -0.7199999999999998 -7.025511704631093e-6 0.0005728771633797282
90 1.8000000000000012 1 51 -0.6400000000000003 9.549001185921769e-6 -0.00023087392355031834
90 1.8000000000000012 1 52 -0.5599999999999996 -6.784854417267061e-6 4.032141190352329e-5
90 1.8000000000000012 1 53 -0.47999999999999954 3.6900130047485675e-6 3.0900504256965826e-5
90 1.8000000000000012 1 54 -0.3999999999999999 -1.6457271257889932e-6 -4.252868397103206e-5
90 1.8000000000000012 1 55 -0.3200000000000003 5.862152321269815e-7 3.376474041659304e-5
90 1.8000000000000012 1 56 -0.2400000000000002 -1.283866509962228e-7 -2.238618554352059e-5
90 1.8000000000000012 1 57 -0.1599999999999997 -3.561973663364152e-8 1.4011027986674229e-5
